1.01, 12:00:00 AM
1.01, 12:00:10 AM
1.01, 12:00:20 AM
1.01, 12:00:30 AM
1.01, 12:00:40 AM
1.01, 12:00:50 AM
1.01, 12:01:00 AM
1.03, 12:01:10 AM
1.05, 12:01:20 AM
1.07, 12:01:30 AM
1.09, 12:01:40 AM
1.11, 12:01:50 AM
1.13, 12:02:00 AM
1.15, 12:02:10 AM
1.17, 12:02:20 AM
1.19, 12:02:30 AM
1.21, 12:02:40 AM
1.23, 12:02:50 AM
1.25, 12:03:00 AM
1.27, 12:03:10 AM
1.29, 12:03:20 AM
1.31, 12:03:30 AM
1.33, 12:03:40 AM
1.35, 12:03:50 AM
1.37, 12:04:00 AM
1.3900000000000001, 12:04:10 AM
1.41, 12:04:20 AM
1.43, 12:04:30 AM
1.45, 12:04:40 AM
1.47, 12:04:50 AM
1.49, 12:05:00 AM
1.51, 12:05:10 AM
1.53, 12:05:20 AM
1.55, 12:05:30 AM
1.5699999999999998, 12:05:40 AM
1.5899999999999999, 12:05:50 AM
1.5899999999999999, 12:06:00 AM
1.5899999999999999, 12:06:10 AM
1.6099999999999999, 12:06:20 AM
1.5899999999999999, 12:06:30 AM
1.5899999999999999, 12:06:40 AM
1.6099999999999999, 12:06:50 AM
1.5899999999999999, 12:07:00 AM
1.5899999999999999, 12:07:10 AM
1.6099999999999999, 12:07:20 AM
1.5899999999999999, 12:07:30 AM
1.5899999999999999, 12:07:40 AM
1.6099999999999999, 12:07:50 AM
1.63, 12:08:00 AM
1.5899999999999999, 12:08:10 AM
1.5899999999999999, 12:08:20 AM
1.6099999999999999, 12:08:30 AM
1.5899999999999999, 12:08:40 AM
1.5899999999999999, 12:08:50 AM
1.6099999999999999, 12:09:00 AM
1.5899999999999999, 12:09:10 AM
1.5899999999999999, 12:09:20 AM
1.6099999999999999, 12:09:30 AM
1.5899999999999999, 12:09:40 AM
1.6099999999999999, 12:09:50 AM
1.5899999999999999, 12:10:00 AM
1.5899999999999999, 12:10:10 AM
1.6099999999999999, 12:10:20 AM
1.5899999999999999, 12:10:30 AM
1.5899999999999999, 12:10:40 AM
1.6099999999999999, 12:10:50 AM
1.5899999999999999, 12:11:00 AM
1.56, 12:11:10 AM
1.53, 12:11:20 AM
1.5, 12:11:30 AM
1.47, 12:11:40 AM
1.44, 12:11:50 AM
1.41, 12:12:00 AM
1.38, 12:12:10 AM
1.35, 12:12:20 AM
1.32, 12:12:30 AM
1.29, 12:12:40 AM
1.26, 12:12:50 AM
1.23, 12:13:00 AM
1.2, 12:13:10 AM
1.17, 12:13:20 AM
1.1400000000000001, 12:13:30 AM
1.11, 12:13:40 AM
1.08, 12:13:50 AM
1.05, 12:14:00 AM
1.0, 12:14:10 AM
1.0, 12:14:20 AM
1.0, 12:14:30 AM
1.0, 12:14:40 AM
1.0, 12:14:50 AM
1.0, 12:15:00 AM
1.0, 12:15:10 AM
1.0, 12:15:20 AM
1.0, 12:15:30 AM
1.0, 12:15:40 AM
1.0, 12:15:50 AM
1.0, 12:16:00 AM
1.0, 12:16:10 AM
1.0, 12:16:20 AM
1.0, 12:16:30 AM
